dataset_name,total_samples,num_classes,samples_per_class,original_width_px,original_height_px,standard_width_px,standard_height_px,richness_block,task_type,source_url
SEMEION,1593,10,159.3,16,16,16,16,1,Handwriting,https://archive.ics.uci.edu/dataset/178/semeion+handwritten+digit
MNIST,70000,10,7000.0,28,28,28,28,1,Handwriting,http://yann.lecun.com/exdb/mnist/
FashionMNIST,70000,10,7000.0,28,28,28,28,1,Clothing,https://github.com/zalandoresearch/fashion-mnist
KMNIST,70000,10,7000.0,28,28,28,28,1,Handwriting,https://github.com/rois-codh/kmnist
QMNIST,120000,10,12000.0,28,28,28,28,1,Handwriting,https://github.com/facebookresearch/qmnist
USPS,9298,10,929.8,16,16,16,16,1,Handwriting,https://www.csie.ntu.edu.tw/~cjlin/libsvmtools/datasets/multiclass.html#usps
CIFAR10,60000,10,6000.0,32,32,32,32,1,General objects,https://www.cs.toronto.edu/~kriz/cifar.html
EMNIST,814255,47,17324.574468085106,28,28,28,28,1,Handwriting,https://www.westernsydney.edu.au/icns/resources/reproducible_research3/publication_support_materials2/emnist
STL10,13000,10,1300.0,96,96,96,96,1,General objects,https://cs.stanford.edu/~acoates/stl10/
Omniglot,32460,964,33.67219917012448,105,105,128,128,0,Handwriting,https://github.com/brendenlake/omniglot
FER2013,35887,7,5126.714285714285,48,48,48,48,1,Faces,https://www.kaggle.com/c/challenges-in-representation-learning-facial-expression-recognition-challenge
SVHN,630420,10,63042.0,32,32,32,32,1,Digits,http://ufldl.stanford.edu/housenumbers/
CIFAR100,60000,100,600.0,32,32,32,32,1,General objects,https://www.cs.toronto.edu/~kriz/cifar.html
EuroSAT,27000,10,2700.0,64,64,64,64,1,Land,https://github.com/phelber/eurosat
DTD,5640,47,120.0,494,450,512,480,1,Textures,https://www.robots.ox.ac.uk/~vgg/data/dtd/
GTSRB,51840,43,1205.5813953488373,50,50,52,52,1,Traffic Signs,https://benchmark.ini.rub.de/
OxfordIIITPet,7400,37,200.0,437,391,448,416,1,Animals,https://www.robots.ox.ac.uk/~vgg/data/pets/
Caltech101,9146,101,90.55445544554456,300,200,320,224,0,General objects,https://data.caltech.edu/records/mzrjq-6wc02
Imagenette,13394,10,1339.4,471,408,480,416,1,General objects,https://github.com/fastai/imagenette#imagenette-1
FGVCAircraft,10000,100,100.0,1101,749,1120,768,0,Aircraft,https://www.robots.ox.ac.uk/~vgg/data/fgvc-aircraft/
PCAM,327680,2,163840.0,96,96,96,96,1,Medical scans,https://github.com/basveeling/pcam
StanfordCars,16185,196,82.5765306122449,700,483,704,512,0,Cars,https://www.kaggle.com/datasets/jessicali9530/stanford-cars-dataset
Caltech256,30607,256,119.55859375,300,200,320,224,1,General objects,https://data.caltech.edu/records/20087
CelebA,202599,10177,19.907536602142084,178,218,192,224,0,Face,https://mmlab.ie.cuhk.edu.hk/projects/CelebA.html
Country211,75000,249,301.2048192771084,468,382,480,384,1,Countries,https://github.com/openai/CLIP/blob/main/data/country211.md
Flowers102,7169,102,70.2843137254902,631,534,640,544,0,Flowers,https://www.robots.ox.ac.uk/~vgg/data/flowers/102/
Food101,101000,101,1000.0,512,512,512,512,1,Food,https://data.vision.ee.ethz.ch/cvl/datasets_extra/food-101/
LFWPeople,13233,5749,2.301791615933206,250,250,256,256,0,Faces,http://vis-www.cs.umass.edu/lfw/
RenderedSST2,8741,2,4370.5,448,448,448,448,1,Sentiment from text images,https://github.com/openai/CLIP/blob/main/data/rendered-sst2.md
SUN397,108753,397,273.93702770780857,959,775,960,800,1,Scenes,https://vision.princeton.edu/projects/2010/SUN/
